city,tmEf,wf,tmn,tmx,year,month,day,hour
서울,2020-07-13 00:00:00,흐리고 비,21,26,2020,7,13,0
서울,2020-07-13 12:00:00,흐리고 비,21,26,2020,7,13,12
서울,2020-07-14 00:00:00,흐리고 비,19,26,2020,7,14,0
서울,2020-07-14 12:00:00,흐림,19,26,2020,7,14,12
서울,2020-07-15 00:00:00,맑음,19,28,2020,7,15,0
서울,2020-07-15 12:00:00,맑음,19,28,2020,7,15,12
서울,2020-07-16 00:00:00,맑음,21,29,2020,7,16,0
서울,2020-07-16 12:00:00,맑음,21,29,2020,7,16,12
서울,2020-07-17 00:00:00,맑음,21,29,2020,7,17,0
서울,2020-07-17 12:00:00,맑음,21,29,2020,7,17,12
서울,2020-07-18 00:00:00,흐림,22,29,2020,7,18,0
서울,2020-07-19 00:00:00,흐리고 비,22,28,2020,7,19,0
서울,2020-07-20 00:00:00,흐리고 비,23,28,2020,7,20,0
인천,2020-07-13 00:00:00,흐리고 비,21,25,2020,7,13,0
인천,2020-07-13 12:00:00,흐리고 비,21,25,2020,7,13,12
인천,2020-07-14 00:00:00,흐리고 비,19,25,2020,7,14,0
인천,2020-07-14 12:00:00,흐림,19,25,2020,7,14,12
인천,2020-07-15 00:00:00,맑음,19,26,2020,7,15,0
인천,2020-07-15 12:00:00,맑음,19,26,2020,7,15,12
인천,2020-07-16 00:00:00,맑음,20,27,2020,7,16,0
인천,2020-07-16 12:00:00,맑음,20,27,2020,7,16,12
인천,2020-07-17 00:00:00,맑음,21,28,2020,7,17,0
인천,2020-07-17 12:00:00,맑음,21,28,2020,7,17,12
인천,2020-07-18 00:00:00,흐림,21,27,2020,7,18,0
인천,2020-07-19 00:00:00,흐리고 비,22,27,2020,7,19,0
인천,2020-07-20 00:00:00,흐리고 비,23,27,2020,7,20,0
수원,2020-07-13 00:00:00,흐리고 비,20,25,2020,7,13,0
수원,2020-07-13 12:00:00,흐리고 비,20,25,2020,7,13,12
수원,2020-07-14 00:00:00,흐리고 비,19,26,2020,7,14,0
수원,2020-07-14 12:00:00,흐림,19,26,2020,7,14,12
수원,2020-07-15 00:00:00,맑음,19,28,2020,7,15,0
수원,2020-07-15 12:00:00,맑음,19,28,2020,7,15,12
수원,2020-07-16 00:00:00,맑음,20,29,2020,7,16,0
수원,2020-07-16 12:00:00,맑음,20,29,2020,7,16,12
수원,2020-07-17 00:00:00,맑음,21,30,2020,7,17,0
수원,2020-07-17 12:00:00,맑음,21,30,2020,7,17,12
수원,2020-07-18 00:00:00,흐림,21,29,2020,7,18,0
수원,2020-07-19 00:00:00,흐리고 비,22,28,2020,7,19,0
수원,2020-07-20 00:00:00,흐리고 비,23,29,2020,7,20,0
파주,2020-07-13 00:00:00,흐리고 비,19,25,2020,7,13,0
파주,2020-07-13 12:00:00,흐리고 비,19,25,2020,7,13,12
파주,2020-07-14 00:00:00,흐리고 비,18,26,2020,7,14,0
파주,2020-07-14 12:00:00,흐림,18,26,2020,7,14,12
파주,2020-07-15 00:00:00,맑음,18,27,2020,7,15,0
파주,2020-07-15 12:00:00,맑음,18,27,2020,7,15,12
파주,2020-07-16 00:00:00,맑음,19,29,2020,7,16,0
파주,2020-07-16 12:00:00,맑음,19,29,2020,7,16,12
파주,2020-07-17 00:00:00,맑음,19,30,2020,7,17,0
파주,2020-07-17 12:00:00,맑음,19,30,2020,7,17,12
파주,2020-07-18 00:00:00,흐림,19,29,2020,7,18,0
파주,2020-07-19 00:00:00,흐리고 비,19,28,2020,7,19,0
파주,2020-07-20 00:00:00,흐리고 비,22,28,2020,7,20,0
이천,2020-07-13 00:00:00,흐리고 비,19,25,2020,7,13,0
이천,2020-07-13 12:00:00,흐리고 비,19,25,2020,7,13,12
이천,2020-07-14 00:00:00,흐리고 비,19,26,2020,7,14,0
이천,2020-07-14 12:00:00,흐림,19,26,2020,7,14,12
이천,2020-07-15 00:00:00,맑음,17,28,2020,7,15,0
이천,2020-07-15 12:00:00,맑음,17,28,2020,7,15,12
이천,2020-07-16 00:00:00,맑음,18,29,2020,7,16,0
이천,2020-07-16 12:00:00,맑음,18,29,2020,7,16,12
이천,2020-07-17 00:00:00,맑음,19,30,2020,7,17,0
이천,2020-07-17 12:00:00,맑음,19,30,2020,7,17,12
이천,2020-07-18 00:00:00,흐림,19,30,2020,7,18,0
이천,2020-07-19 00:00:00,흐리고 비,21,28,2020,7,19,0
이천,2020-07-20 00:00:00,흐리고 비,22,28,2020,7,20,0
평택,2020-07-13 00:00:00,흐리고 비,20,25,2020,7,13,0
평택,2020-07-13 12:00:00,흐리고 비,20,25,2020,7,13,12
평택,2020-07-14 00:00:00,흐리고 비,19,26,2020,7,14,0
평택,2020-07-14 12:00:00,흐림,19,26,2020,7,14,12
평택,2020-07-15 00:00:00,맑음,17,29,2020,7,15,0
평택,2020-07-15 12:00:00,맑음,17,29,2020,7,15,12
평택,2020-07-16 00:00:00,맑음,19,29,2020,7,16,0
평택,2020-07-16 12:00:00,맑음,19,29,2020,7,16,12
평택,2020-07-17 00:00:00,맑음,19,29,2020,7,17,0
평택,2020-07-17 12:00:00,맑음,19,29,2020,7,17,12
평택,2020-07-18 00:00:00,흐림,20,29,2020,7,18,0
평택,2020-07-19 00:00:00,흐리고 비,22,29,2020,7,19,0
평택,2020-07-20 00:00:00,흐리고 비,24,29,2020,7,20,0
춘천,2020-07-13 00:00:00,흐리고 비,20,24,2020,7,13,0
춘천,2020-07-13 12:00:00,흐리고 비,20,24,2020,7,13,12
춘천,2020-07-14 00:00:00,흐리고 비,19,25,2020,7,14,0
춘천,2020-07-14 12:00:00,흐리고 비,19,25,2020,7,14,12
춘천,2020-07-15 00:00:00,구름많음,19,28,2020,7,15,0
춘천,2020-07-15 12:00:00,맑음,19,28,2020,7,15,12
춘천,2020-07-16 00:00:00,맑음,19,30,2020,7,16,0
춘천,2020-07-16 12:00:00,맑음,19,30,2020,7,16,12
춘천,2020-07-17 00:00:00,맑음,20,30,2020,7,17,0
춘천,2020-07-17 12:00:00,맑음,20,30,2020,7,17,12
춘천,2020-07-18 00:00:00,흐림,21,30,2020,7,18,0
춘천,2020-07-19 00:00:00,흐리고 비,21,29,2020,7,19,0
춘천,2020-07-20 00:00:00,흐리고 비,23,28,2020,7,20,0
원주,2020-07-13 00:00:00,흐리고 비,20,24,2020,7,13,0
원주,2020-07-13 12:00:00,흐리고 비,20,24,2020,7,13,12
원주,2020-07-14 00:00:00,흐리고 비,19,25,2020,7,14,0
원주,2020-07-14 12:00:00,흐리고 비,19,25,2020,7,14,12
원주,2020-07-15 00:00:00,구름많음,18,28,2020,7,15,0
원주,2020-07-15 12:00:00,맑음,18,28,2020,7,15,12
원주,2020-07-16 00:00:00,맑음,19,29,2020,7,16,0
원주,2020-07-16 12:00:00,맑음,19,29,2020,7,16,12
원주,2020-07-17 00:00:00,맑음,20,30,2020,7,17,0
원주,2020-07-17 12:00:00,맑음,20,30,2020,7,17,12
원주,2020-07-18 00:00:00,흐림,21,30,2020,7,18,0
